cohort,taxon,taxon_full,n_nonzero,alpha_hat,theta_hat,ks_gamma_p,ks_exp_p,gamma_better
KarlssonFH_2013,s__Eubacterium_siraeum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum,117,0.41228414347226067,3.0089599985063757,0.010573045911950185,1.3930805023480716e-13,True
KarlssonFH_2013,s__Roseburia_intestinalis,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,125,0.4820548684082059,2.310097362313131,0.15217721510651627,2.243308033232133e-07,True
KarlssonFH_2013,s__Blautia_wexlerae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,145,0.537851049811955,1.5373800024466975,0.017866012616386318,7.241863651863656e-07,True
KarlssonFH_2013,s__Roseburia_inulinivorans,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,136,0.6773648973089909,1.244601674287156,0.3706232401734014,0.027553074467061234,True
LifeLinesDeep_2016,s__Bifidobacterium_adolescentis,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,1053,0.5028698149644242,18.890471581377362,5.486928718896794e-09,3.9540846448665525e-16,True
LifeLinesDeep_2016,s__Ruminococcus_bromii,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii,923,0.47121726139067566,18.440596470587085,6.187102954060149e-26,4.7450508093653206e-21,False
LifeLinesDeep_2016,s__Collinsella_aerofaciens,k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,1118,0.8478002911895013,8.412080727354812,2.2149246942634823e-31,1.0426026420364682e-21,False
LifeLinesDeep_2016,s__Faecalibacterium_prausnitzii,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,1133,1.7057019145586716,3.8044802416758277,4.397374410389249e-12,2.755324171249295e-32,True
LifeLinesDeep_2016,s__Bifidobacterium_longum,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,1068,0.7119460570480269,6.99912855240279,1.2624606528477477e-05,0.0015860682645915892,False
LifeLinesDeep_2016,s__Fusicatenibacter_saccharivorans,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Fusicatenibacter|s__Fusicatenibacter_saccharivorans,1114,1.273241878396656,3.4039134904365853,0.0001152100163137437,1.6056755317937876e-13,True
LifeLinesDeep_2016,s__Eubacterium_rectale,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale,1090,0.4590037076314088,9.511684895873316,0.15553141725250308,7.754416413652529e-44,True
LifeLinesDeep_2016,s__Dorea_longicatena,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,1095,1.7554310201094028,1.9321363958648634,3.8445492453385015e-06,3.0967393577806994e-33,True
